e_annee_naissance,e_p_5ans,indice_conf_age,e_top_age_ok,e_age,e_sexe,c_insee,c_iris,c_qualite_iris,civilite,codgeo,complement_adrs,complement_nom,cp,e_age_geo,e_age_prenom,id,pays,prenom,sexe,ville
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,87000,,60.5,94,France,Élise,NA,Limoges
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,6000,,60.5,95,France,Émilie,NA,Nice
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,33000,,60.5,96,France,Guillaume,NA,Bordeaux
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,87000,,60.5,97,France,Édith,NA,Limoges
1964,0.9,Confiance,2,60.5,M,,,,Mme,,"5, rue Petit",,83000,,60.5,98,France,Madeleine,NA,Toulon
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,66000,,60.5,99,France,Alix,NA,Perpignan
1964,0.9,Confiance,2,59.52,M,,,,M.,,,,30000,,59.52,100,France,Thierry,NA,Nîmes
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,76600,,60.5,101,France,Émile,NA,Le Havre
1964,0.9,Confiance,2,60.5,M,,,,M.,,chemin Inès Bousquet,,69100,,60.5,102,France,Antoine,NA,Villeurbanne
1965,0.9,Confiance,2,58.689655172413794,M,,,,M.,,"42, chemin de Bourgeois",,29200,,58.689655172413794,103,France,Zacharie,NA,Brest
1964,0.9,Confiance,2,59.97894736842105,M,,,,Mme,,,,76600,,59.97894736842105,104,France,Lucy,NA,Le Havre
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,69100,,60.5,105,France,Augustin,NA,Villeurbanne
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,21000,,60.5,106,France,Constance,NA,Dijon
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,33000,,60.5,107,France,Henriette,NA,Bordeaux
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,13001,,60.5,108,France,Constance,NA,Marseille
1964,0.9,Confiance,2,60.5,M,,,,Mme,,rue Moreau,,59000,,60.5,109,France,Inès,NA,Lille
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,13001,,60.5,110,France,Auguste,NA,Marseille
1964,0.9,Confiance,2,60.5,M,,,,M.,,"28, avenue Emmanuel Foucher",,83000,,60.5,111,France,Bertrand,NA,Toulon
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,21000,,60.5,112,France,Adèle,NA,Dijon
1964,0.9,Confiance,2,60.257425742574256,M,,,,Mme,,,S.A.,37000,,60.257425742574256,113,France,Lorraine,NA,Tours
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,S.A.R.L.,13100,,60.5,114,France,Nathalie,NA,Aix-en-Provence
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,72000,,60.5,115,France,Noël,NA,Le Mans
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,59000,,60.5,116,France,Virginie,NA,Lille
1964,0.9,Confiance,2,60.5,M,,,,M.,,"111, avenue Bonnet",S.A.R.L.,30000,,60.5,117,France,Robert,NA,Nîmes
1964,0.9,Confiance,2,60.5,M,,,,M.,,rue de Lelièvre,,69100,,60.5,118,France,Guillaume,NA,Villeurbanne
1964,0.9,Confiance,2,60.5,M,,,,Mme,,"24, rue Timothée Rey",,83000,,60.5,119,France,Lucie,NA,Toulon
1964,0.9,Confiance,2,60.5,M,,,,M.,,"60, rue Rey",SA,69100,,60.5,120,France,Aimé,NA,Villeurbanne
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,42000,,60.5,121,France,Benoît,NA,Saint-Étienne
1965,0.9,Confiance,2,59.313131313131315,M,,,,Mme,,"153, rue de Dijoux",,30000,,59.313131313131315,122,France,Manon,NA,Nîmes
1966,0.9,Confiance,2,58.291666666666664,M,,,,M.,,"5, rue Thérèse Lefèvre",,13001,,58.291666666666664,123,France,Lucas,NA,Marseille
2024,0.9,Confiance -,3,,F,,,,Mme,,,,74000,,,124,France,Alexandria,NA,Annecy
1964,0.9,Confiance,2,60.5,M,,,,M.,,,S.A.R.L.,33000,,60.5,125,France,Jean,NA,Bordeaux
1964,0.9,Confiance,2,60.5,M,,,,Mme,,"56, rue de Lebreton",,87000,,60.5,126,France,Geneviève,NA,Limoges
1964,0.9,Confiance,2,60.5,M,,,,M.,,rue Henri Chevallier,,69100,,60.5,127,France,William,NA,Villeurbanne
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,80000,,60.5,128,France,Noël,NA,Amiens
1964,0.9,Confiance,2,60.5,M,,,,M.,,"7, rue Timothée Legendre",,69100,,60.5,129,France,William,NA,Villeurbanne
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,38000,,60.5,130,France,Dominique,NA,Grenoble
1964,0.9,Confiance,2,60.01980198019802,M,,,,M.,,,S.A.S.,51100,,60.01980198019802,131,France,Patrick,NA,Reims
1964,0.9,Confiance,2,60.5,M,,,,M.,,,SARL,44000,,60.5,132,France,Emmanuel,NA,Nantes
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,51100,,60.5,133,France,Mathilde,NA,Reims
1964,0.9,Confiance,2,60.5,M,,,,Mme,,"21, chemin de Brun",,66000,,60.5,134,France,Suzanne,NA,Perpignan
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,49000,,60.5,135,France,René,NA,Angers
1964,0.9,Confiance,2,60.5,M,,,,Mme,,"93, boulevard de Gros",,38000,,60.5,136,France,Alix,NA,Grenoble
2000,0.9,Confiance,2,24.5,M,,,,Mme,,,S.A.,42000,,24.5,137,France,Margaud,NA,Saint-Étienne
1964,0.9,Confiance,2,60.5,M,,,,M.,,"35, rue Lemaire",,72000,,60.5,138,France,Martin,NA,Le Mans
1964,0.9,Confiance,2,60.5,M,,,,Mme,,rue Mendès,et Fils,25000,,60.5,139,France,Agathe,NA,Besançon
1964,0.9,Confiance,2,60.5,M,,,,Mme,,"288, chemin Bigot",,29200,,60.5,140,France,Marine,NA,Brest
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,6000,,60.5,141,France,Gilles,NA,Nice
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,44000,,60.5,142,France,Nicolas,NA,Nantes
1964,0.9,Confiance,2,60.5,M,,,,M.,,,SARL,35000,,60.5,143,France,Édouard,NA,Rennes
1965,0.9,Confiance,2,58.689655172413794,M,,,,M.,,,,72000,,58.689655172413794,144,France,Zacharie,NA,Le Mans
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,69001,,60.5,145,France,Amélie,NA,Lyon
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,69100,,60.5,146,France,Sylvie,NA,Villeurbanne
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,63000,,60.5,147,France,Jacques,NA,Clermont-Ferrand
1964,0.9,Confiance,2,60.5,M,,,,Mme,,"67, avenue Julie Simon",,49000,,60.5,148,France,Adrienne,NA,Angers
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,31000,,60.5,149,France,Marthe,NA,Toulouse
1974,0.9,Confiance,2,50.46153846153846,M,,,,Mme,,,,29200,,50.46153846153846,150,France,Arnaude,NA,Brest
1983,0.9,Confiance,2,40.557377049180324,M,,,,Mme,,"97, rue Weiss",,74000,,40.557377049180324,151,France,Capucine,NA,Annecy
1964,0.9,Confiance,2,60.5,M,,,,M.,,"13, rue de Bernard",,13001,,60.5,152,France,David,NA,Marseille
1964,0.9,Confiance,2,60.5,M,,,,Mme,,"47, boulevard Collet",,80000,,60.5,153,France,Suzanne,NA,Amiens
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,S.A.R.L.,6000,,60.5,154,France,Claude,NA,Nice
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,38000,,60.5,155,France,Vincent,NA,Grenoble
1964,0.9,Confiance,2,60.5,M,,,,Mme,,"3, boulevard Victoire Martel",SARL,25000,,60.5,156,France,Sylvie,NA,Besançon
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,66000,,60.5,157,France,René,NA,Perpignan
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,31000,,60.5,158,France,Danielle,NA,Toulouse
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,83000,,60.5,159,France,Aurélie,NA,Toulon
1947,0.9,Confiance,2,77.47368421052632,M,,,,Mme,,,SA,75001,,77.47368421052632,160,France,Luce,NA,Paris
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,69100,,60.5,161,France,Henriette,NA,Villeurbanne
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,29200,,60.5,162,France,Augustin,NA,Brest
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,87000,,60.5,163,France,Eugène,NA,Limoges
1957,0.9,Confiance,2,66.8314606741573,M,,,,Mme,,,,25000,,66.8314606741573,164,France,Paulette,NA,Besançon
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,72000,,60.5,165,France,Agnès,NA,Le Mans
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,66000,,60.5,166,France,Gabrielle,NA,Perpignan
1964,0.9,Confiance,2,60.5,M,,,,M.,,,S.A.,74000,,60.5,167,France,Alphonse,NA,Annecy
1964,0.9,Confiance,2,60.5,M,,,,M.,,,SARL,34000,,60.5,168,France,David,NA,Montpellier
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,S.A.R.L.,63000,,60.5,169,France,Michelle,NA,Clermont-Ferrand
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,13001,,60.5,170,France,Alice,NA,Marseille
1965,0.9,Confiance,2,58.77173913043478,M,,,,Mme,,,,25000,,58.77173913043478,171,France,Noémi,NA,Besançon
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,34000,,60.5,172,France,Honoré,NA,Montpellier
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,30000,,60.5,173,France,Élise,NA,Nîmes
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,25000,,60.5,174,France,Marguerite,NA,Besançon
1958,0.9,Confiance,2,65.94252873563218,M,,,,Mme,,,,66000,,65.94252873563218,175,France,Margaret,NA,Perpignan
1964,0.9,Confiance,2,60.5,M,,,,Mme,,"47, rue Carre",,74000,,60.5,176,France,Isabelle,NA,Annecy
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,76600,,60.5,177,France,Nicolas,NA,Le Havre
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,49000,,60.5,178,France,Nicolas,NA,Angers
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,6000,,60.5,179,France,Laurent,NA,Nice
1964,0.9,Confiance,2,60.5,M,,,,M.,,,SARL,83000,,60.5,180,France,Philippe,NA,Toulon
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,69001,,60.5,181,France,Adrien,NA,Lyon
1964,0.9,Confiance,2,60.5,M,,,,Mme,,"458, chemin Coste",,35000,,60.5,182,France,Adélaïde,NA,Rennes
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,72000,,60.5,183,France,Roger,NA,Le Mans
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,76600,,60.5,184,France,Juliette,NA,Le Havre
1965,0.9,Confiance,2,58.689655172413794,M,,,,M.,,,S.A.,75001,,58.689655172413794,185,France,Zacharie,NA,Paris
1964,0.9,Confiance,2,60.5,M,,,,M.,,"24, rue Frédéric Lopes",SA,51100,,60.5,186,France,Jules,NA,Reims
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,69100,,60.5,187,France,Camille,NA,Villeurbanne
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,34000,,60.5,188,France,Olivier,NA,Montpellier
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,SA,42000,,60.5,189,France,Françoise,NA,Saint-Étienne
1964,0.9,Confiance,2,60.5,M,,,,M.,,,S.A.S.,31000,,60.5,190,France,Christophe,NA,Toulouse
1964,0.9,Confiance,2,60.5,M,,,,Mme,,"69, rue de Bertin",,76600,,60.5,191,France,Michèle,NA,Le Havre
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,SARL,21000,,60.5,192,France,Aurore,NA,Dijon
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,49000,,60.5,193,France,Frédéric,NA,Angers
1964,0.9,Confiance,2,60.5,M,,,,M.,,,SA,75001,,60.5,194,France,Théodore,NA,Paris
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,6000,,60.5,195,France,Mathilde,NA,Nice
1977,0.9,Confiance,2,46.84285714285714,M,,,,Mme,,boulevard Cousin,,35000,,46.84285714285714,196,France,Pénélope,NA,Rennes
1964,0.9,Confiance,2,60.5,M,,,,M.,,"1, boulevard Claire Thibault",,25000,,60.5,197,France,Pierre,NA,Besançon
1987,0.9,Confiance,2,37.22,M,,,,Mme,,"782, boulevard de Renaud",,72000,,37.22,198,France,Océane,NA,Le Mans
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,76600,,60.5,199,France,Jacqueline,NA,Le Havre
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,63000,,60.5,200,France,Inès,NA,Clermont-Ferrand
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,SARL,13001,,60.5,201,France,Philippine,NA,Marseille
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,S.A.,75001,,60.5,202,France,Jeanne,NA,Paris
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,75001,,60.5,203,France,François,NA,Paris
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,21000,,60.5,204,France,Diane,NA,Dijon
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,30000,,60.5,205,France,Catherine,NA,Nîmes
1975,0.9,Confiance,2,48.7,M,,,,Mme,,,,63000,,48.7,206,France,Maggie,NA,Clermont-Ferrand
2024,0.9,Confiance -,3,,M,,,,Mme,,"789, rue Joseph Gimenez",,37000,,,207,France,Olivie,NA,Tours
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,S.A.,63000,,60.5,208,France,Gabrielle,NA,Clermont-Ferrand
1963,0.9,Confiance,2,60.60606060606061,M,,,,Mme,,,,69001,,60.60606060606061,209,France,Margot,NA,Lyon
1963,0.9,Confiance,2,60.86,M,,,,Mme,,,S.A.,42000,,60.86,210,France,Anastasie,NA,Saint-Étienne
1964,0.9,Confiance,2,60.5,M,,,,M.,,avenue Susanne Vallée,S.A.R.L.,31000,,60.5,211,France,Augustin,NA,Toulouse
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,6000,,60.5,212,France,Agathe,NA,Nice
1981,0.9,Confiance,2,43.0,M,,,,Mme,,"34, boulevard de Seguin",,76600,,43.0,213,France,Anouk,NA,Le Havre
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,51100,,60.5,214,France,Benoît,NA,Reims
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,38000,,60.5,215,France,Anaïs,NA,Grenoble
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,76600,,60.5,216,France,Christiane,NA,Le Havre
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,21000,,60.5,217,France,Gilbert,NA,Dijon
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,SA,13001,,60.5,218,France,Henriette,NA,Marseille
1958,0.9,Confiance,2,65.91208791208791,M,,,,Mme,,"99, rue Michel",,33000,,65.91208791208791,219,France,Renée,NA,Bordeaux
1984,0.9,Confiance,2,39.81818181818182,M,,,,M.,,,,83000,,39.81818181818182,220,France,Timothée,NA,Toulon
1962,0.9,Confiance,2,61.56521739130435,M,,,,Mme,,,S.A.S.,6000,,61.56521739130435,221,France,Zoé,NA,Nice
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,83000,,60.5,222,France,Édouard,NA,Toulon
1964,0.9,Confiance,2,60.5,M,,,,M.,,"7, boulevard Schneider",,42000,,60.5,223,France,Roger,NA,Saint-Étienne
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,37000,,60.5,224,France,Michelle,NA,Tours
1965,0.9,Confiance,2,59.04040404040404,M,,,,Mme,,"93, chemin Zacharie Camus",S.A.S.,38000,,59.04040404040404,225,France,Maryse,NA,Grenoble
1964,0.9,Confiance,2,60.5,M,,,,Mme,,"58, rue Élise Maurice",,75001,,60.5,226,France,Élise,NA,Paris
