civilite,prenom,nom,lieu_dit,cp,ville,id_client,code_postal,nom_de_la_commune,c_insee,c_iris,c_qualite_iris,codgeo,id,age_retraite,age_etud,rfmd911,tx_seul,tx_fammono,tx_coupsenf,tx_coupaenf,et_niv0,et_niv1,et_niv2,propr,locat,locat_hlm,h_ind,t_comm,typocom,rev,c_indice_qualite_rev,t_mm,t_m,t_p,t_pp,c_indice_qualite_formation,c_indice_qualite_menage,c_indice_qualite_pcs,c_indice_qualite_logement
Mme,Juliette,Vallet,,29200,Brest,54926ed0-9d81-4792-870c-7fdeff493b12,29200.0,BREST,29019,0000,2,290190000,24550.0,56.61,20.25,53821.0,0.52,0.09,0.21,0.18,0.52,0.32,0.15,0.39,0.61,0.16,0.25,7.0,111.0,20100.44,0.0,0.32,0.27,0.25,0.16,1.0,4.0,1.0,2.0
M.,Alain,Bouvier,,13001,Marseille,1c5d025a-8b8c-4c10-90ba-093bded968ee,,,,0000,8,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.,Grégoire,Seguin,,51100,Reims,7bca65d1-37b5-4921-aa20-7efae85734e6,51100.0,REIMS,51454,0000,2,514540000,45494.0,56.24,19.38,57380.0,0.48,0.1,0.22,0.2,0.58,0.28,0.15,0.19,0.81,0.29,0.21,7.0,111.0,20913.52,0.0,0.34,0.26,0.25,0.15,0.0,4.0,0.0,4.0
M.,Grégoire,Seguin,,51100,Reims,7bca65d1-37b5-4921-aa20-7efae85734e6,51100.0,REIMS,51454,0000,2,514540000,45494.0,56.24,19.38,57380.0,0.48,0.1,0.22,0.2,0.58,0.28,0.15,0.19,0.81,0.29,0.21,7.0,111.0,20913.52,0.0,0.34,0.26,0.25,0.15,0.0,4.0,0.0,4.0
M.,Georges,Faure,,63000,Clermont-Ferrand,e979914e-74be-4640-81ae-812e835bae7c,63000.0,CLERMONT FERRAND,63113,0000,2,631130000,59919.0,54.95,20.12,54684.0,0.55,0.08,0.21,0.16,0.54,0.29,0.17,0.26,0.74,0.2,0.18,7.0,111.0,20214.23,1.0,0.32,0.26,0.25,0.16,0.0,4.0,0.0,4.0
Mme,Astrid,Valentin,,33000,Bordeaux,4286f313-04ef-480d-98cf-e43c09e685b1,33000.0,BORDEAUX,33063,0000,2,330630000,29517.0,55.26,21.09,69644.0,0.57,0.08,0.19,0.15,0.39,0.33,0.28,0.28,0.72,0.11,0.25,8.0,111.0,24278.42,2.0,0.25,0.23,0.29,0.24,4.0,4.0,2.0,4.0
Mme,Michèle,Auger,,38000,Grenoble,63286350-c05e-414b-80b9-e395caa93da9,38000.0,GRENOBLE,38185,0000,2,381850000,34283.0,53.79,20.47,61190.0,0.52,0.08,0.22,0.17,0.43,0.3,0.28,0.33,0.67,0.14,0.03,7.0,111.0,21950.05,2.0,0.26,0.21,0.27,0.26,4.0,4.0,3.0,3.0
M.,Alain,Fabre,,44000,Nantes,b5f94ba9-4ac0-4edd-9a65-fc3ebbc12896,44000.0,NANTES,44109,0000,2,441090000,39360.0,55.04,20.43,67159.0,0.53,0.08,0.21,0.18,0.43,0.33,0.24,0.32,0.68,0.17,0.22,8.0,111.0,24386.32,1.0,0.27,0.22,0.28,0.23,3.0,4.0,2.0,3.0
Mme,Maryse,Weiss,,37000,Tours,d20c1b26-31ba-4fc7-8c9a-25bf40d5c352,37000.0,TOURS,37261,0000,2,372610000,33781.0,55.72,19.42,56754.0,0.55,0.08,0.21,0.15,0.52,0.3,0.17,0.26,0.74,0.22,0.22,7.0,111.0,20848.96,0.0,0.31,0.26,0.27,0.17,1.0,4.0,1.0,4.0
Mme,Nath,Adam,,69001,Lyon,e2638c04-5453-4768-bd5c-842307648e29,,,,0000,8,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.,Alexandre,Coulon,,59000,Lille,688c4906-9484-4755-8db3-2f289cf5cdac,59000.0,LILLE,59350,0000,2,593500000,53884.0,53.4,20.47,59281.0,0.56,0.09,0.19,0.17,0.46,0.27,0.27,0.23,0.77,0.18,0.23,8.0,111.0,19794.5,3.0,0.29,0.22,0.26,0.24,3.0,4.0,2.0,4.0
Mme,Océane,Dupont,,80000,Amiens,1bbe2781-fe37-4754-b209-b7d462133e78,80000.0,AMIENS,80021,0000,2,800210000,77450.0,55.26,19.53,56990.0,0.46,0.12,0.21,0.21,0.57,0.26,0.16,0.27,0.73,0.23,0.39,7.0,111.0,19976.59,0.0,0.35,0.25,0.25,0.16,0.0,4.0,0.0,4.0
Mme,Adrienne,Fouquet,,83000,Toulon,7c847b16-5c04-4081-b8ad-d04dfaf25442,83000.0,TOULON,83137,0000,2,831370000,80691.0,61.14,20.7,57254.0,0.44,0.11,0.24,0.21,0.59,0.29,0.12,0.42,0.58,0.11,0.22,7.0,111.0,20126.66,0.0,0.31,0.31,0.26,0.11,0.0,4.0,1.0,1.0
M.,Jacques,Rousset,,25000,Besançon,e5683ebc-2a7a-474c-8338-2581d7b6b70e,25000.0,BESANCON,25056,0000,2,250560000,20195.0,56.56,19.79,57337.0,0.55,0.09,0.2,0.16,0.52,0.29,0.19,0.29,0.71,0.19,0.13,7.0,111.0,21110.06,0.0,0.31,0.24,0.27,0.18,1.0,4.0,1.0,4.0
M.,Emmanuel,Colas,,76600,Le Havre,f91a3e87-71e5-467d-881f-e77872f3b0f2,76600.0,LE HAVRE,76351,0000,2,763510000,73321.0,59.21,19.63,54242.0,0.42,0.11,0.24,0.23,0.67,0.24,0.09,0.3,0.7,0.25,0.28,7.0,111.0,19466.58,0.0,0.39,0.27,0.24,0.1,2.0,4.0,0.0,3.0
Mme,Renée,Dumont,,44000,Nantes,45369820-aa5e-46de-b531-a521ba29b00f,44000.0,NANTES,44109,0000,2,441090000,39360.0,55.04,20.43,67159.0,0.53,0.08,0.21,0.18,0.43,0.33,0.24,0.32,0.68,0.17,0.22,8.0,111.0,24386.32,1.0,0.27,0.22,0.28,0.23,3.0,4.0,2.0,3.0
M.,Thibault,Chevalier,,87000,Limoges,7ec9a3cb-de3b-4b06-b29d-0c4cf2cb2353,87000.0,LIMOGES,87085,0000,2,870850000,82743.0,57.88,19.88,55183.0,0.52,0.09,0.23,0.16,0.56,0.29,0.15,0.33,0.67,0.18,0.27,7.0,111.0,20391.11,0.0,0.33,0.25,0.28,0.14,0.0,4.0,0.0,3.0
M.,Frédéric,Buisson,,25000,Besançon,b6b510c5-4aa4-458a-8e9d-e4c7b89a47b6,25000.0,BESANCON,25056,0000,2,250560000,20195.0,56.56,19.79,57337.0,0.55,0.09,0.2,0.16,0.52,0.29,0.19,0.29,0.71,0.19,0.13,7.0,111.0,21110.06,0.0,0.31,0.24,0.27,0.18,1.0,4.0,1.0,4.0
M.,Paul,Hardy,,66000,Perpignan,ce099658-264a-474b-933e-9f84f2fc7743,66000.0,PERPIGNAN,66136,0000,2,661360000,63239.0,58.4,20.51,50722.0,0.46,0.13,0.22,0.19,0.6,0.27,0.13,0.4,0.6,0.1,0.27,7.0,111.0,17718.75,0.0,0.38,0.26,0.26,0.11,0.0,4.0,0.0,2.0
Mme,Olivie,Girard,,87000,Limoges,761fb95b-7355-4380-b9ec-49a7ee7d28b1,87000.0,LIMOGES,87085,0000,2,870850000,82743.0,57.88,19.88,55183.0,0.52,0.09,0.23,0.16,0.56,0.29,0.15,0.33,0.67,0.18,0.27,7.0,111.0,20391.11,0.0,0.33,0.25,0.28,0.14,0.0,4.0,0.0,3.0
M.,Pierre,Delmas,,35000,Rennes,f694271d-eaec-4185-9b4e-50120f328d9a,35000.0,RENNES,35238,0000,2,352380000,32298.0,55.18,19.8,63135.0,0.55,0.07,0.21,0.16,0.45,0.31,0.24,0.3,0.7,0.18,0.15,8.0,111.0,22884.53,2.0,0.28,0.24,0.26,0.23,3.0,4.0,2.0,3.0
M.,Yves,Buisson,,38000,Grenoble,62799fd0-0096-40c1-b970-e221b59a180e,38000.0,GRENOBLE,38185,0000,2,381850000,34283.0,53.79,20.47,61190.0,0.52,0.08,0.22,0.17,0.43,0.3,0.28,0.33,0.67,0.14,0.03,7.0,111.0,21950.05,2.0,0.26,0.21,0.27,0.26,4.0,4.0,3.0,3.0
Mme,Jeanne,Blin,,57000,Metz,2074eb79-d60d-4d7c-8d6e-4764a1ce89a1,57000.0,METZ,57463,0000,2,574630000,51455.0,55.88,20.12,60618.0,0.47,0.1,0.23,0.2,0.54,0.29,0.18,0.28,0.72,0.18,0.14,7.0,111.0,21377.12,0.0,0.3,0.27,0.25,0.17,0.0,4.0,1.0,4.0
Mme,Joséphine,Blanchard,,25000,Besançon,330ae9c8-9801-4116-bfec-098bf74077f6,25000.0,BESANCON,25056,0000,2,250560000,20195.0,56.56,19.79,57337.0,0.55,0.09,0.2,0.16,0.52,0.29,0.19,0.29,0.71,0.19,0.13,7.0,111.0,21110.06,0.0,0.31,0.24,0.27,0.18,1.0,4.0,1.0,4.0
M.,Raymond,Lefort,,72000,Le Mans,66391719-6685-4f33-bfbc-c100cded73b8,72000.0,LE MANS,72181,0000,2,721810000,69613.0,58.83,19.57,56435.0,0.47,0.09,0.25,0.19,0.6,0.27,0.13,0.37,0.63,0.2,0.43,7.0,111.0,21165.95,0.0,0.33,0.26,0.28,0.14,0.0,4.0,0.0,2.0
M.,Christophe,Hoarau,,44000,Nantes,42ea1f8b-d202-469e-a7b9-5f204545e722,44000.0,NANTES,44109,0000,2,441090000,39360.0,55.04,20.43,67159.0,0.53,0.08,0.21,0.18,0.43,0.33,0.24,0.32,0.68,0.17,0.22,8.0,111.0,24386.32,1.0,0.27,0.22,0.28,0.23,3.0,4.0,2.0,3.0
Mme,Laure,Didier,,49000,Angers,dda0dd76-92b6-4cbd-9b3a-b4096f8b0294,49000.0,ANGERS,49007,0000,2,490070000,42437.0,55.95,18.73,57293.0,0.53,0.09,0.22,0.16,0.52,0.3,0.18,0.25,0.75,0.23,0.24,7.0,111.0,21050.29,1.0,0.32,0.24,0.27,0.17,1.0,4.0,0.0,4.0
Mme,Marcelle,Baron,,42000,Saint-Étienne,97e7eacf-90b9-4bec-9d4f-a465a5a7352d,,,,0000,8,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.,Gilles,Hebert,,21000,Dijon,9c6967e6-401a-46e0-af11-1513544d6446,21000.0,DIJON,21231,0000,2,212310000,16504.0,55.67,19.71,61471.0,0.54,0.07,0.22,0.16,0.48,0.32,0.19,0.39,0.61,0.11,0.16,7.0,111.0,23286.23,1.0,0.27,0.24,0.31,0.18,2.0,4.0,2.0,2.0
Mme,Marianne,Masson,,35000,Rennes,5e6732a8-ecd0-4455-9482-5b83e1a20ccc,35000.0,RENNES,35238,0000,2,352380000,32298.0,55.18,19.8,63135.0,0.55,0.07,0.21,0.16,0.45,0.31,0.24,0.3,0.7,0.18,0.15,8.0,111.0,22884.53,2.0,0.28,0.24,0.26,0.23,3.0,4.0,2.0,3.0
Mme,Nathalie,Lebreton,,13001,Marseille,937a1806-de3c-4f66-928a-a62d91570425,,,,0000,8,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.,Bertrand,Delannoy,,33000,Bordeaux,90a6fd76-5eb0-4d65-8d3c-da96b6b17c85,33000.0,BORDEAUX,33063,0000,2,330630000,29517.0,55.26,21.09,69644.0,0.57,0.08,0.19,0.15,0.39,0.33,0.28,0.28,0.72,0.11,0.25,8.0,111.0,24278.42,2.0,0.25,0.23,0.29,0.24,4.0,4.0,2.0,4.0
M.,Olivier,Besnard,,49000,Angers,af2f5ccf-618e-452b-8215-f97c2f774fd0,49000.0,ANGERS,49007,0000,2,490070000,42437.0,55.95,18.73,57293.0,0.53,0.09,0.22,0.16,0.52,0.3,0.18,0.25,0.75,0.23,0.24,7.0,111.0,21050.29,1.0,0.32,0.24,0.27,0.17,1.0,4.0,0.0,4.0
M.,Gabriel,Benard,,35000,Rennes,519bea5f-57fa-435b-a6bb-cfe10020c0b6,35000.0,RENNES,35238,0000,2,352380000,32298.0,55.18,19.8,63135.0,0.55,0.07,0.21,0.16,0.45,0.31,0.24,0.3,0.7,0.18,0.15,8.0,111.0,22884.53,2.0,0.28,0.24,0.26,0.23,3.0,4.0,2.0,3.0
M.,Émile,Aubry,,29200,Brest,3bfce8ac-0ca2-4740-a5f9-31dab78ec060,29200.0,BREST,29019,0000,2,290190000,24550.0,56.61,20.25,53821.0,0.52,0.09,0.21,0.18,0.52,0.32,0.15,0.39,0.61,0.16,0.25,7.0,111.0,20100.44,0.0,0.32,0.27,0.25,0.16,1.0,4.0,1.0,2.0
M.,Augustin,Brunet,,67000,Strasbourg,3521016b-6a53-4336-a2d8-9f14ed511494,67000.0,STRASBOURG,67482,0000,2,674820000,64528.0,55.66,20.62,63906.5,0.49,0.1,0.2,0.21,0.5,0.27,0.23,0.22,0.78,0.19,0.07,8.0,111.0,22478.58,1.0,0.32,0.22,0.25,0.21,2.0,4.0,1.0,4.0
M.,Gérard,Bonnin,,57000,Metz,bca1cf0c-b6be-4275-b33e-b281ab2c0a0d,57000.0,METZ,57463,0000,2,574630000,51455.0,55.88,20.12,60618.0,0.47,0.1,0.23,0.2,0.54,0.29,0.18,0.28,0.72,0.18,0.14,7.0,111.0,21377.12,0.0,0.3,0.27,0.25,0.17,0.0,4.0,1.0,4.0
M.,Michel,Dubois,,21000,Dijon,c9746c69-d631-465a-902a-fae39e8e970b,21000.0,DIJON,21231,0000,2,212310000,16504.0,55.67,19.71,61471.0,0.54,0.07,0.22,0.16,0.48,0.32,0.19,0.39,0.61,0.11,0.16,7.0,111.0,23286.23,1.0,0.27,0.24,0.31,0.18,2.0,4.0,2.0,2.0
Mme,Emmanuelle,Legrand,,66000,Perpignan,d1c86685-2ef6-494e-8b3f-adb5055c3eee,66000.0,PERPIGNAN,66136,0000,2,661360000,63239.0,58.4,20.51,50722.0,0.46,0.13,0.22,0.19,0.6,0.27,0.13,0.4,0.6,0.1,0.27,7.0,111.0,17718.75,0.0,0.38,0.26,0.26,0.11,0.0,4.0,0.0,2.0
Mme,Anastasie,Henry,,63000,Clermont-Ferrand,6ed07bce-54d2-4089-8317-e4127f0822a6,63000.0,CLERMONT FERRAND,63113,0000,2,631130000,59919.0,54.95,20.12,54684.0,0.55,0.08,0.21,0.16,0.54,0.29,0.17,0.26,0.74,0.2,0.18,7.0,111.0,20214.23,1.0,0.32,0.26,0.25,0.16,0.0,4.0,0.0,4.0
Mme,Jeannine,Delmas,,21000,Dijon,d5cc8de9-9f45-4d14-b237-8270f6821f02,21000.0,DIJON,21231,0000,2,212310000,16504.0,55.67,19.71,61471.0,0.54,0.07,0.22,0.16,0.48,0.32,0.19,0.39,0.61,0.11,0.16,7.0,111.0,23286.23,1.0,0.27,0.24,0.31,0.18,2.0,4.0,2.0,2.0
M.,Roger,Legrand,,87000,Limoges,7dc57fca-4500-4353-8455-95d378a4b5ba,87000.0,LIMOGES,87085,0000,2,870850000,82743.0,57.88,19.88,55183.0,0.52,0.09,0.23,0.16,0.56,0.29,0.15,0.33,0.67,0.18,0.27,7.0,111.0,20391.11,0.0,0.33,0.25,0.28,0.14,0.0,4.0,0.0,3.0
Mme,Laure,Fernandez,,31000,Toulouse,139e0fe3-ffff-43c8-b821-cb39bb6d8ab8,31000.0,TOULOUSE,31555,0000,2,315550000,28156.0,53.81,20.79,64674.0,0.55,0.09,0.2,0.16,0.39,0.32,0.28,0.3,0.7,0.12,0.18,8.0,111.0,22742.56,2.0,0.26,0.22,0.27,0.25,4.0,4.0,2.0,3.0
Mme,Jacqueline,Grondin,,13001,Marseille,51e53b92-c957-4e45-adf6-fa629b50ee76,,,,0000,8,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.,Bernard,Gay,,30000,Nîmes,4b91b622-65a2-47c9-be3e-ddea90e54767,30000.0,NIMES,30189,0000,2,301890000,26493.0,60.84,20.13,57395.0,0.44,0.12,0.23,0.21,0.57,0.28,0.15,0.35,0.65,0.16,0.31,7.0,111.0,20001.63,0.0,0.35,0.27,0.25,0.13,0.0,4.0,0.0,2.0
Mme,Marthe,Leduc,,72000,Le Mans,ac46cf62-b09d-4bf2-a21c-9ce174940969,72000.0,LE MANS,72181,0000,2,721810000,69613.0,58.83,19.57,56435.0,0.47,0.09,0.25,0.19,0.6,0.27,0.13,0.37,0.63,0.2,0.43,7.0,111.0,21165.95,0.0,0.33,0.26,0.28,0.14,0.0,4.0,0.0,2.0
Mme,Céline,Lemaire,,63000,Clermont-Ferrand,92f3ec80-0561-42ee-8e8b-1f28341f951b,63000.0,CLERMONT FERRAND,63113,0000,2,631130000,59919.0,54.95,20.12,54684.0,0.55,0.08,0.21,0.16,0.54,0.29,0.17,0.26,0.74,0.2,0.18,7.0,111.0,20214.23,1.0,0.32,0.26,0.25,0.16,0.0,4.0,0.0,4.0
M.,Yves,Lejeune,,13001,Marseille,2405f3b5-585a-4bcf-9fa2-067e3ee0f93b,,,,0000,8,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mme,Alice,Marie,,13100,Aix-en-Provence,23829078-556a-455f-9073-9d6c231dd3cd,13100.0,AIX EN PROVENCE,13001,0000,2,130010000,9737.0,59.59,21.19,79075.0,0.47,0.09,0.24,0.2,0.4,0.32,0.28,0.34,0.66,0.13,0.22,7.0,111.0,27992.02,1.0,0.23,0.23,0.29,0.25,4.0,4.0,3.0,3.0
Mme,Alice,Marie,,13100,Aix-en-Provence,23829078-556a-455f-9073-9d6c231dd3cd,13100.0,AIX EN PROVENCE,13001,0000,2,130010000,9737.0,59.59,21.19,79075.0,0.47,0.09,0.24,0.2,0.4,0.32,0.28,0.34,0.66,0.13,0.22,7.0,111.0,27992.02,1.0,0.23,0.23,0.29,0.25,4.0,4.0,3.0,3.0
M.,Éric,Arnaud,,13100,Aix-en-Provence,eaf83a87-22de-4b4c-9e3b-e80b16e5bb3b,13100.0,AIX EN PROVENCE,13001,0000,2,130010000,9737.0,59.59,21.19,79075.0,0.47,0.09,0.24,0.2,0.4,0.32,0.28,0.34,0.66,0.13,0.22,7.0,111.0,27992.02,1.0,0.23,0.23,0.29,0.25,4.0,4.0,3.0,3.0
M.,Éric,Arnaud,,13100,Aix-en-Provence,eaf83a87-22de-4b4c-9e3b-e80b16e5bb3b,13100.0,AIX EN PROVENCE,13001,0000,2,130010000,9737.0,59.59,21.19,79075.0,0.47,0.09,0.24,0.2,0.4,0.32,0.28,0.34,0.66,0.13,0.22,7.0,111.0,27992.02,1.0,0.23,0.23,0.29,0.25,4.0,4.0,3.0,3.0
Mme,Hélène,Barbier,,37000,Tours,a5a12bec-01b1-4030-8b11-8a8343929c09,37000.0,TOURS,37261,0000,2,372610000,33781.0,55.72,19.42,56754.0,0.55,0.08,0.21,0.15,0.52,0.3,0.17,0.26,0.74,0.22,0.22,7.0,111.0,20848.96,0.0,0.31,0.26,0.27,0.17,1.0,4.0,1.0,4.0
M.,Jacques,Hebert,,74000,Annecy,ef226978-a6c9-4b79-a494-bedc59690118,74000.0,ANNECY,74010,0000,2,740100000,70784.0,55.86,20.45,67163.0,0.5,0.08,0.25,0.17,0.48,0.32,0.2,0.43,0.57,0.11,0.05,6.0,111.0,24321.05,0.0,0.26,0.25,0.31,0.18,2.0,4.0,2.0,1.0
Mme,Corinne,Laporte,,75001,Paris,decd83c8-5c90-4e6e-9d79-0f4f456e93d1,,,,0000,8,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.,David,Maillard,,69001,Lyon,1aa510dc-f39d-4978-857b-ab8466f74d17,,,,0000,8,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.,Emmanuel,Paul,,87000,Limoges,0db6f895-b4e7-4daf-86d0-625429378fe2,87000.0,LIMOGES,87085,0000,2,870850000,82743.0,57.88,19.88,55183.0,0.52,0.09,0.23,0.16,0.56,0.29,0.15,0.33,0.67,0.18,0.27,7.0,111.0,20391.11,0.0,0.33,0.25,0.28,0.14,0.0,4.0,0.0,3.0
M.,Gabriel,Toussaint,,37000,Tours,b89cbcb9-8674-4d9a-aea3-b046c48323fd,37000.0,TOURS,37261,0000,2,372610000,33781.0,55.72,19.42,56754.0,0.55,0.08,0.21,0.15,0.52,0.3,0.17,0.26,0.74,0.22,0.22,7.0,111.0,20848.96,0.0,0.31,0.26,0.27,0.17,1.0,4.0,1.0,4.0
M.,Denis,Becker,,59000,Lille,7f894fbc-8009-4ed3-a7eb-f3f22dc5dd0b,59000.0,LILLE,59350,0000,2,593500000,53884.0,53.4,20.47,59281.0,0.56,0.09,0.19,0.17,0.46,0.27,0.27,0.23,0.77,0.18,0.23,8.0,111.0,19794.5,3.0,0.29,0.22,0.26,0.24,3.0,4.0,2.0,4.0
M.,Jérôme,Renault,,59000,Lille,d23260bf-a80e-4ebc-b101-ca8ac5b7bd52,59000.0,LILLE,59350,0000,2,593500000,53884.0,53.4,20.47,59281.0,0.56,0.09,0.19,0.17,0.46,0.27,0.27,0.23,0.77,0.18,0.23,8.0,111.0,19794.5,3.0,0.29,0.22,0.26,0.24,3.0,4.0,2.0,4.0
M.,Bertrand,Lagarde,,59000,Lille,9188932a-431a-4d9b-90f6-afd688d1e312,59000.0,LILLE,59350,0000,2,593500000,53884.0,53.4,20.47,59281.0,0.56,0.09,0.19,0.17,0.46,0.27,0.27,0.23,0.77,0.18,0.23,8.0,111.0,19794.5,3.0,0.29,0.22,0.26,0.24,3.0,4.0,2.0,4.0
Mme,Valérie,Clerc,,87000,Limoges,16428f0e-fb55-4a44-bb64-a73afa575fad,87000.0,LIMOGES,87085,0000,2,870850000,82743.0,57.88,19.88,55183.0,0.52,0.09,0.23,0.16,0.56,0.29,0.15,0.33,0.67,0.18,0.27,7.0,111.0,20391.11,0.0,0.33,0.25,0.28,0.14,0.0,4.0,0.0,3.0
Mme,Luce,Bousquet,,51100,Reims,b64bcd46-db70-49df-8b9a-7fa0dfd97c99,51100.0,REIMS,51454,0000,2,514540000,45494.0,56.24,19.38,57380.0,0.48,0.1,0.22,0.2,0.58,0.28,0.15,0.19,0.81,0.29,0.21,7.0,111.0,20913.52,0.0,0.34,0.26,0.25,0.15,0.0,4.0,0.0,4.0
Mme,Luce,Bousquet,,51100,Reims,b64bcd46-db70-49df-8b9a-7fa0dfd97c99,51100.0,REIMS,51454,0000,2,514540000,45494.0,56.24,19.38,57380.0,0.48,0.1,0.22,0.2,0.58,0.28,0.15,0.19,0.81,0.29,0.21,7.0,111.0,20913.52,0.0,0.34,0.26,0.25,0.15,0.0,4.0,0.0,4.0
Mme,Luce,Lagarde,,34000,Montpellier,c873c4ed-2d2b-4ea9-9040-3c3bce50175d,34000.0,MONTPELLIER,34172,0000,2,341720000,31260.0,54.48,20.95,57447.0,0.53,0.1,0.2,0.17,0.44,0.33,0.24,0.29,0.71,0.14,0.14,8.0,111.0,19788.96,1.0,0.31,0.23,0.27,0.19,3.0,4.0,1.0,4.0
Mme,Corinne,Millet,,25000,Besançon,f75c80a7-ca83-4a9a-b736-24463a15a81b,25000.0,BESANCON,25056,0000,2,250560000,20195.0,56.56,19.79,57337.0,0.55,0.09,0.2,0.16,0.52,0.29,0.19,0.29,0.71,0.19,0.13,7.0,111.0,21110.06,0.0,0.31,0.24,0.27,0.18,1.0,4.0,1.0,4.0
